Layer R0:
-349,-350,-353,-347,-355,-416,-464,-520,-598,-719,-767,-791,-772,-796,-947,-1007,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
-347,-349,-352,-346,-355,-416,-464,-520,-598,-719,-767,-791,-772,-796,-947,-1007,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
-357,-357,-358,-351,-355,-416,-464,-520,-598,-719,-767,-791,-772,-796,-947,-1007,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
-408,-408,-409,-403,-399,-418,-464,-521,-598,-719,-767,-791,-772,-796,-947,-1007,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
-532,-532,-532,-532,-532,-537,-517,-529,-600,-720,-768,-791,-772,-796,-947,-1007,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
-611,-611,-611,-611,-611,-611,-615,-618,-635,-728,-761,-789,-772,-796,-947,-1007,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
-718,-718,-718,-718,-718,-718,-718,-721,-734,-764,-758,-784,-769,-796,-947,-1007,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
-746,-746,-746,-746,-746,-746,-746,-746,-750,-744,-757,-788,-775,-798,-947,-1007,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
-698,-698,-698,-698,-698,-698,-698,-698,-698,-703,-725,-774,-785,-806,-943,-1007,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
-691,-691,-691,-691,-691,-691,-691,-691,-691,-692,-702,-752,-774,-808,-935,-1005,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
-757,-757,-757,-757,-757,-757,-757,-757,-757,-757,-758,-773,-791,-803,-934,-993,-1054,-1182,-1804,-1216,-874,-579,2681,1111,866
-769,-769,-769,-769,-769,-769,-769,-769,-769,-769,-769,-773,-792,-807,-886,-969,-1052,-1181,-1804,-1216,-874,-579,2681,1111,866
-878,-878,-878,-878,-878,-878,-878,-878,-878,-878,-878,-878,-885,-885,-929,-985,-1035,-1176,-1803,-1216,-874,-579,2681,1111,866
-857,-857,-857,-857,-857,-857,-857,-857,-857,-857,-857,-857,-858,-861,-874,-917,-982,-1133,-1793,-1215,-875,-579,2681,1111,866
-788,-788,-788,-788,-788,-788,-788,-788,-788,-788,-788,-788,-788,-788,-795,-816,-890,-1051,-1746,-1207,-876,-579,2681,1111,866
-708,-708,-708,-708,-708,-708,-708,-708,-708,-708,-708,-708,-708,-708,-709,-713,-738,-892,-1652,-1189,-875,-580,2681,1111,866
-515,-515,-515,-515,-515,-515,-515,-515,-515,-515,-515,-515,-515,-515,-515,-515,-536,-654,-1511,-1096,-871,-580,2680,1111,866
-360,-360,-360,-360,-360,-360,-360,-360,-360,-360,-360,-360,-360,-360,-360,-360,-366,-478,-1338,-970,-889,-593,2673,1111,866
-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-199,-1041,-735,-805,-616,2662,1107,864
-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-95,-793,-510,-673,-607,2648,1101,864
-884,-884,-884,-884,-884,-884,-884,-884,-884,-884,-884,-884,-884,-884,-884,-884,-884,-884,-884,-322,-510,-557,2563,1075,851
-635,-635,-635,-635,-635,-635,-635,-635,-635,-635,-635,-635,-635,-635,-635,-635,-635,-635,-635,-635,-389,-434,2531,1008,835
-1306,-1306,-1306,-1306,-1306,-1306,-1306,-1306,-1306,-1306,-1306,-1306,-1306,-1306,-1306,-1306,-1306,-1306,-1306,-1306,-1301,-563,2505,852,771
4264,4264,4264,4264,4264,4264,4264,4264,4264,4264,4264,4264,4264,4264,4264,4264,4264,4264,4264,4264,4264,4268,2822,651,612
568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,532,399
Layer R1:
-630,-630,-627,-619,-602,-622,-624,-621,-675,-766,-786,-803,-779,-797,-947,-1007,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
-630,-630,-627,-619,-602,-622,-624,-621,-675,-766,-786,-803,-779,-797,-947,-1007,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
-629,-629,-627,-619,-602,-622,-624,-621,-675,-766,-786,-803,-779,-797,-947,-1007,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
-617,-617,-617,-613,-607,-619,-624,-621,-675,-766,-786,-803,-779,-797,-947,-1007,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
-643,-643,-643,-643,-643,-649,-623,-616,-674,-766,-786,-803,-779,-797,-947,-1007,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
-671,-671,-671,-671,-671,-671,-675,-673,-685,-762,-782,-801,-778,-797,-947,-1007,-1055,-1182,-1804,-1216,-874,-579,2681,1111,866
