Layer R0:
-752,-743,-697,-779,-799,-947,-1116,-1216,1251,866
-734,-734,-689,-779,-799,-947,-1116,-1216,1251,866
-732,-732,-731,-752,-799,-947,-1116,-1216,1251,866
-691,-691,-691,-692,-763,-935,-1116,-1216,1251,866
-826,-826,-826,-826,-828,-914,-1105,-1216,1251,866
-788,-788,-788,-788,-788,-795,-986,-1207,1251,866
-430,-430,-430,-430,-430,-430,-470,-1040,1245,866
-90,-90,-90,-90,-90,-90,-90,-510,1203,864
-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,1264,812
568,568,568,568,568,568,568,568,568,399
Layer R1:
-831,-831,-831,-831,-822,-937,-1116,-1216,1251,866
-831,-831,-831,-831,-822,-937,-1116,-1216,1251,866
-827,-827,-827,-830,-822,-937,-1116,-1216,1251,866
-720,-720,-720,-722,-779,-936,-1116,-1216,1251,866
-831,-831,-831,-831,-833,-918,-1105,-1216,1251,866
-792,-792,-792,-792,-792,-799,-986,-1207,1251,866
-434,-434,-434,-434,-434,-434,-470,-1040,1245,866
-90,-90,-90,-90,-90,-90,-90,-510,1203,864
-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,1264,812
568,568,568,568,568,568,568,568,568,399
Layer R2:
-1312,-1312,-1312,-1314,-1371,-1499,-1668,-1221,1251,866
-1312,-1312,-1312,-1314,-1371,-1499,-1668,-1221,1251,866
-1312,-1312,-1312,-1314,-1371,-1499,-1668,-1221,1251,866
-1318,-1318,-1318,-1318,-1373,-1499,-1668,-1221,1251,866
-1457,-1457,-1457,-1457,-1456,-1514,-1669,-1221,1251,866
-1396,-1396,-1396,-1396,-1396,-1397,-1562,-1215,1251,866
-1025,-1025,-1025,-1025,-1025,-1025,-1046,-1048,1245,866
-480,-480,-480,-480,-480,-480,-480,-518,1203,864
-1322,-1322,-1322,-1322,-1322,-1322,-1322,-1322,1264,812
568,568,568,568,568,568,568,568,568,399
Layer R3:
-1154,-1154,-1154,-1154,-1158,-1193,-1305,-963,1251,866
-1154,-1154,-1154,-1154,-1158,-1193,-1305,-963,1251,866
-1154,-1154,-1154,-1154,-1158,-1193,-1305,-963,1251,866
-1154,-1154,-1154,-1154,-1158,-1193,-1305,-963,1251,866
-1158,-1158,-1158,-1158,-1158,-1193,-1305,-963,1251,866
-1125,-1125,-1125,-1125,-1125,-1123,-1267,-964,1251,866
-784,-784,-784,-784,-784,-784,-790,-811,1245,866
-189,-189,-189,-189,-189,-189,-189,-281,1203,864
-1201,-1201,-1201,-1201,-1201,-1201,-1201,-1201,1264,812
568,568,568,568,568,568,568,568,568,399
Layer R4:
-568,-568,-568,-568,-568,-567,-710,-490,1052,865
-568,-568,-568,-568,-568,-567,-710,-490,1052,865
-568,-568,-568,-568,-568,-567,-710,-490,1052,865
-568,-568,-568,-568,-568,-567,-710,-490,1052,865
-568,-568,-568,-568,-568,-567,-710,-490,1052,865
-580,-580,-580,-580,-580,-579,-709,-490,1052,865
-532,-532,-532,-532,-532,-532,-532,-471,1052,865
38,38,38,38,38,38,38,38,1021,864
33,33,33,33,33,33,33,33,1082,812
567,567,567,567,567,567,567,567,567,399
Layer R5:
44,44,44,44,44,44,35,33,568,856
44,44,44,44,44,44,35,33,568,856
44,44,44,44,44,44,35,33,568,856
44,44,44,44,44,44,35,33,568,856
44,44,44,44,44,44,35,33,568,856
44,44,44,44,44,44,35,33,568,856
24,24,24,24,24,24,23,32,568,856
274,274,274,274,274,274,274,274,559,856
625,625,625,625,625,625,625,625,638,812
528,528,528,528,528,528,528,528,528,399
Layer R6:
286,286,286,286,286,286,286,268,412,787
286,286,286,286,286,286,286,268,412,787
286,286,286,286,286,286,286,268,412,787
286,286,286,286,286,286,286,268,412,787
286,286,286,286,286,286,286,268,412,787
286,286,286,286,286,286,286,268,412,787
286,286,286,286,286,286,286,268,412,787
270,270,270,270,270,270,270,271,412,787
566,566,566,566,566,566,566,566,563,776
469,469,469,469,469,469,469,469,469,382
Layer R7:
303,303,303,303,303,303,303,303,301,582
303,303,303,303,303,303,303,303,301,582
303,303,303,303,303,303,303,303,301,582
303,303,303,303,303,303,303,303,301,582
303,303,303,303,303,303,303,303,301,582
303,303,303,303,303,303,303,303,301,582
303,303,303,303,303,303,303,303,301,582
303,303,303,303,303,303,303,303,301,582
389,389,389,389,389,389,389,389,386,582
321,321,321,321,321,321,321,321,321,320
Layer R8:
165,165,165,165,165,165,165,165,164,320
165,165,165,165,165,165,165,165,164,320
165,165,165,165,165,165,165,165,164,320
165,165,165,165,165,165,165,165,164,320
165,165,165,165,165,165,165,165,164,320
165,165,165,165,165,165,165,165,164,320
165,165,165,165,165,165,165,165,164,320
165,165,165,165,165,165,165,165,164,320
164,164,164,164,164,164,164,164,163,320
263,263,263,263,263,263,263,263,263,259
Layer R9:
13,13,13,13,13,13,13,13,13,12
13,13,13,13,13,13,13,13,13,12
13,13,13,13,13,13,13,13,13,12
13,13,13,13,13,13,13,13,13,12
13,13,13,13,13,13,13,13,13,12
13,13,13,13,13,13,13,13,13,12
13,13,13,13,13,13,13,13,13,12
13,13,13,13,13,13,13,13,13,12
13,13,13,13,13,13,13,13,13,12
4,4,4,4,4,4,4,4,4,3
