Layer R0:
-752,-752,-752,-750,-750,-743,-738,-728,-697,-677,-722,-779,-792,-798,-799,-777,-845,-947,-981,-1057,-1116,-1271,-1887,-1216,-1103,-1440,1251,2176,1107,866
-752,-752,-752,-750,-750,-743,-738,-728,-697,-677,-722,-779,-792,-798,-799,-777,-845,-947,-981,-1057,-1116,-1271,-1887,-1216,-1103,-1440,1251,2176,1107,866
-747,-747,-747,-745,-745,-742,-738,-728,-697,-677,-722,-779,-792,-798,-799,-777,-845,-947,-981,-1057,-1116,-1271,-1887,-1216,-1103,-1440,1251,2176,1107,866
-734,-734,-734,-734,-735,-734,-735,-727,-689,-675,-722,-779,-792,-798,-799,-777,-845,-947,-981,-1057,-1116,-1271,-1887,-1216,-1103,-1440,1251,2176,1107,866
-700,-700,-700,-700,-700,-700,-700,-699,-698,-688,-726,-775,-784,-800,-799,-777,-845,-947,-981,-1057,-1116,-1271,-1887,-1216,-1103,-1440,1251,2176,1107,866
-732,-732,-732,-732,-732,-732,-732,-732,-731,-734,-740,-752,-777,-794,-799,-780,-845,-947,-981,-1057,-1116,-1271,-1887,-1216,-1103,-1440,1251,2176,1107,866
-723,-723,-723,-723,-723,-723,-723,-723,-723,-723,-725,-728,-738,-765,-778,-784,-845,-944,-981,-1057,-1116,-1271,-1887,-1216,-1103,-1440,1251,2176,1107,866
-691,-691,-691,-691,-691,-691,-691,-691,-691,-691,-691,-692,-699,-725,-763,-771,-846,-935,-975,-1056,-1116,-1271,-1887,-1216,-1103,-1440,1251,2176,1107,866
-732,-732,-732,-732,-732,-732,-732,-732,-732,-732,-732,-732,-732,-734,-751,-754,-837,-922,-961,-1051,-1116,-1271,-1887,-1216,-1103,-1440,1251,2176,1107,866
-826,-826,-826,-826,-826,-826,-826,-826,-826,-826,-826,-826,-826,-826,-828,-838,-877,-914,-964,-1029,-1105,-1269,-1887,-1216,-1103,-1440,1251,2176,1107,866
-860,-860,-860,-860,-860,-860,-860,-860,-860,-860,-860,-860,-860,-860,-860,-861,-870,-882,-904,-968,-1084,-1252,-1884,-1215,-1104,-1440,1251,2176,1107,866
-788,-788,-788,-788,-788,-788,-788,-788,-788,-788,-788,-788,-788,-788,-788,-788,-789,-795,-807,-861,-986,-1172,-1839,-1207,-1105,-1440,1251,2176,1107,866
-661,-661,-661,-661,-661,-661,-661,-661,-661,-661,-661,-661,-661,-661,-661,-661,-661,-661,-665,-680,-747,-974,-1739,-1175,-1104,-1438,1252,2176,1107,866
-430,-430,-430,-430,-430,-430,-430,-430,-430,-430,-430,-430,-430,-430,-430,-430,-430,-430,-430,-433,-470,-724,-1534,-1040,-1096,-1450,1245,2174,1107,866
-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-150,-163,-403,-1228,-778,-1014,-1463,1221,2165,1106,865
-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-147,-941,-510,-806,-1404,1203,2139,1100,864
-780,-780,-780,-780,-780,-780,-780,-780,-780,-780,-780,-780,-780,-780,-780,-780,-780,-780,-780,-780,-780,-780,-774,-300,-610,-1274,1186,2065,1064,845
-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1321,-1224,-1143,1264,1986,963,812
2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2200,1847,729,658
568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568,569,513,399
Layer R1:
-831,-831,-831,-831,-831,-831,-831,-831,-831,-830,-842,-831,-834,-821,-822,-804,-857,-937,-977,-1059,-1116,-1272,-1887,-1216,-1103,-1440,1251,2176,1107,866
-831,-831,-831,-831,-831,-831,-831,-831,-831,-830,-842,-831,-834,-821,-822,-804,-857,-937,-977,-1059,-1116,-1272,-1887,-1216,-1103,-1440,1251,2176,1107,866
