8 76 64 43 -1
85 8 69 19 -5
52 96 72 75 2
77 50 12 83 -1
49 36 18 91 2
63 39 81 53 -1
44 22 9 54 3
6 84 81 27 1
16 75 69 35 -5
96 44 88 67 2
75 19 36 46 -1
4 54 15 73 1
91 73 36 95 -1
32 89 36 7 -1
78 18 45 12 1
47 32 22 55 1
93 43 15 82 1
69 9 30 76 3
43 79 83 38 3
28 23 67 63 -4
82 19 79 0 2
77 77 65 46 2
27 77 55 45 0
56 3 13 24 -4
43 66 64 46 3
55 7 75 56 1
55 54 8 55 2
30 59 3 34 -1
97 21 27 40 4
84 3 23 81 -5
84 27 90 29 -1
65 12 55 49 2
98 65 40 40 -1
80 31 16 33 -5
10 8 76 71 1
45 70 15 89 0
92 15 49 68 -1
44 16 37 23 -2
67 62 60 35 4
8 33 11 33 4
36 89 49 69 -1
26 75 95 26 2
25 70 78 44 2
26 7 9 44 4
12 45 69 20 2
30 80 57 54 -4
45 84 1 75 -1
71 65 42 30 1
13 57 9 64 1
8 74 41 77 -5
17 48 18 32 1
14 67 10 17 0
78 16 29 91 4
57 44 34 60 0
29 2 14 94 -1
47 46 77 6 -5
27 48 66 48 -1
92 15 56 53 -1
79 26 94 32 0
51 84 43 28 -5
36 81 0 88 0
13 29 54 31 -4
65 66 11 27 -3
65 72 71 92 2
31 10 60 90 4
22 23 3 13 0
54 36 30 82 -1
80 95 31 20 4
62 28 61 50 4
25 98 92 17 -4
52 4 29 43 4
98 15 88 9 2
83 88 22 88 -4
51 46 31 2 2
33 65 40 36 3
9 72 73 37 -3
0 92 93 23 -5
12 6 82 88 -4
73 17 36 59 2
86 4 19 27 -2
98 76 31 96 -1
49 42 14 92 -5
17 22 27 13 -5
67 95 12 29 0
91 68 75 57 -1
19 85 79 2 2
8 73 81 12 -1
12 56 91 8 -2
96 29 13 48 0
65 31 94 51 -3
95 91 49 2 0
54 14 62 83 -4
71 13 74 41 -5
95 16 59 17 4
73 79 42 46 1
77 83 1 65 -4
28 82 24 78 -1
23 33 52 75 1
92 85 74 59 -3
40 11 37 91 -1
